,customer_key,user_id,region,primary_device,first_touch_date,last_touch_date,total_touchpoints,conversion_flag,conversion_date,customer_lifetime_revenue,acquisition_channel,acquisition_campaign
0,1,U00001,North America,Desktop,2025-05-14,2025-05-16,2,True,2025-05-15,427.99,Organic Search,Organic Landing
1,2,U00002,North America,Desktop,2025-04-04,2025-04-09,2,False,,0.0,TikTok Ads,UGC Campaign
2,3,U00003,Asia Pacific,Tablet,2025-01-23,2025-02-02,4,False,,0.0,Organic Search,Organic Landing
3,4,U00004,Asia Pacific,Mobile,2025-02-10,2025-02-12,2,False,,0.0,Organic Search,SEO Blog
4,5,U00005,Asia Pacific,Tablet,2025-02-21,2025-02-21,2,True,2025-02-24,470.38,Google Ads,Competitor Search
5,6,U00006,Europe,Tablet,2025-04-23,2025-04-29,3,True,2025-04-26,853.58,Organic Search,Organic Landing
6,7,U00007,Asia Pacific,Desktop,2025-04-19,2025-05-04,6,False,,0.0,TikTok Ads,Awareness Blast
7,8,U00008,South America,Desktop,2025-06-16,2025-06-24,3,True,2025-06-23,790.46,TikTok Ads,Influencer Push
8,9,U00009,Asia Pacific,Mobile,2025-06-11,2025-06-17,3,True,2025-06-13,385.54,Google Ads,Competitor Search
9,10,U00010,South America,Desktop,2025-05-14,2025-05-22,4,True,2025-05-24,434.21,TikTok Ads,Influencer Push
10,11,U00011,Asia Pacific,Mobile,2025-02-23,2025-03-09,5,False,,0.0,Facebook Ads,Winter Sale
11,12,U00012,Asia Pacific,Tablet,2025-03-04,2025-03-10,4,False,,0.0,Google Ads,Brand Search
12,13,U00013,South America,Mobile,2025-02-01,2025-02-13,6,False,,0.0,Facebook Ads,Retargeting
13,14,U00014,Asia Pacific,Tablet,2025-04-12,2025-04-17,2,False,,0.0,Organic Search,Organic Landing
14,15,U00015,North America,Desktop,2025-06-21,2025-06-27,3,False,,0.0,TikTok Ads,UGC Campaign
15,16,U00016,North America,Mobile,2025-03-16,2025-03-18,2,False,,0.0,Organic Search,Organic Landing
16,17,U00017,Asia Pacific,Desktop,2025-01-07,2025-01-18,5,True,2025-01-19,370.47,TikTok Ads,Awareness Blast
17,18,U00018,North America,Tablet,2025-06-20,2025-07-01,6,True,2025-06-26,104.29,Organic Search,Organic Landing
18,19,U00019,North America,Tablet,2025-03-06,2025-03-10,2,False,,0.0,Organic Search,SEO Blog
19,20,U00020,South America,Tablet,2025-03-01,2025-03-03,2,False,,0.0,TikTok Ads,UGC Campaign
20,21,U00021,South America,Tablet,2025-01-28,2025-01-31,2,False,,0.0,Facebook Ads,Retargeting
21,22,U00022,Asia Pacific,Tablet,2025-05-28,2025-06-08,4,False,,0.0,TikTok Ads,Influencer Push
22,23,U00023,South America,Desktop,2025-05-10,2025-05-19,4,False,,0.0,TikTok Ads,Influencer Push
23,24,U00024,Europe,Desktop,2025-01-29,2025-02-03,3,False,,0.0,Google Ads,Brand Search
24,25,U00025,South America,Tablet,2025-01-30,2025-02-03,4,False,,0.0,Facebook Ads,Winter Sale
25,26,U00026,South America,Tablet,2025-01-02,2025-01-13,5,True,2025-01-15,163.6,Google Ads,Competitor Search
26,27,U00027,North America,Desktop,2025-03-10,2025-03-24,7,True,2025-03-26,1194.81,TikTok Ads,Awareness Blast
27,28,U00028,Europe,Mobile,2025-04-14,2025-05-04,7,True,2025-05-04,172.41,Organic Search,Organic Landing
28,29,U00029,Asia Pacific,Mobile,2025-04-12,2025-04-17,5,False,,0.0,TikTok Ads,Influencer Push
29,30,U00030,Asia Pacific,Desktop,2025-02-06,2025-02-12,3,False,,0.0,Organic Search,SEO Blog
30,31,U00031,Asia Pacific,Mobile,2025-04-03,2025-04-12,3,False,,0.0,Organic Search,SEO Blog
31,32,U00032,South America,Desktop,2025-05-29,2025-06-12,7,True,2025-06-11,1051.71,TikTok Ads,UGC Campaign
32,33,U00033,Europe,Mobile,2025-06-16,2025-06-20,2,False,,0.0,Google Ads,Generic Search
33,34,U00034,South America,Desktop,2025-02-22,2025-03-09,7,False,,0.0,TikTok Ads,UGC Campaign
34,35,U00035,Europe,Mobile,2025-01-18,2025-02-03,6,False,,0.0,Organic Search,SEO Blog
35,36,U00036,Asia Pacific,Mobile,2025-04-06,2025-04-14,3,False,,0.0,Google Ads,Competitor Search
36,37,U00037,North America,Mobile,2025-02-13,2025-03-01,7,False,,0.0,Organic Search,SEO Blog
37,38,U00038,North America,Mobile,2025-05-16,2025-05-21,3,False,,0.0,TikTok Ads,UGC Campaign
38,39,U00039,Asia Pacific,Desktop,2025-03-23,2025-04-10,6,True,2025-04-12,713.76,Organic Search,SEO Blog
39,40,U00040,North America,Mobile,2025-04-30,2025-05-01,2,True,2025-05-04,614.03,Google Ads,Generic Search
40,41,U00041,Asia Pacific,Tablet,2025-04-29,2025-05-08,5,False,,0.0,Google Ads,Generic Search
41,42,U00042,Asia Pacific,Mobile,2025-04-06,2025-04-27,7,False,,0.0,TikTok Ads,UGC Campaign
42,43,U00043,Europe,Desktop,2025-05-21,2025-05-29,3,False,,0.0,Organic Search,Organic Landing
43,44,U00044,North America,Tablet,2025-04-27,2025-04-30,3,False,,0.0,Google Ads,Generic Search
44,45,U00045,South America,Desktop,2025-04-10,2025-04-16,3,False,,0.0,Facebook Ads,Lookalike Audience
45,46,U00046,South America,Tablet,2025-05-25,2025-06-09,5,False,,0.0,Google Ads,Brand Search
46,47,U00047,Asia Pacific,Mobile,2025-03-16,2025-03-28,5,False,,0.0,Organic Search,SEO Blog
47,48,U00048,South America,Tablet,2025-04-07,2025-04-15,3,False,,0.0,TikTok Ads,Influencer Push
48,49,U00049,Asia Pacific,Mobile,2025-05-30,2025-06-05,4,False,,0.0,TikTok Ads,Influencer Push
49,50,U00050,Asia Pacific,Mobile,2025-04-09,2025-04-18,5,True,2025-04-20,238.64,Facebook Ads,Lookalike Audience
50,51,U00051,Asia Pacific,Desktop,2025-04-09,2025-04-23,6,False,,0.0,Google Ads,Generic Search
51,52,U00052,Europe,Desktop,2025-04-20,2025-04-24,3,False,,0.0,Organic Search,SEO Blog
52,53,U00053,South America,Desktop,2025-02-24,2025-03-12,6,False,,0.0,Facebook Ads,Retargeting
53,54,U00054,Europe,Desktop,2025-01-03,2025-01-19,7,False,,0.0,TikTok Ads,UGC Campaign
54,55,U00055,Europe,Mobile,2025-02-08,2025-02-16,4,False,,0.0,TikTok Ads,Awareness Blast
55,56,U00056,Europe,Tablet,2025-05-18,2025-05-21,3,False,,0.0,Organic Search,SEO Blog
56,57,U00057,Europe,Desktop,2025-03-10,2025-03-21,8,False,,0.0,TikTok Ads,UGC Campaign
57,58,U00058,North America,Desktop,2025-05-22,2025-05-30,4,False,,0.0,Google Ads,Brand Search
58,59,U00059,Europe,Desktop,2025-01-12,2025-01-18,3,False,,0.0,Google Ads,Generic Search
59,60,U00060,Asia Pacific,Desktop,2025-04-20,2025-04-24,4,False,,0.0,Facebook Ads,Lookalike Audience
60,61,U00061,Asia Pacific,Mobile,2025-04-09,2025-04-09,2,False,,0.0,Google Ads,Brand Search
61,62,U00062,North America,Tablet,2025-04-18,2025-04-26,5,False,,0.0,Facebook Ads,Lookalike Audience
62,63,U00063,South America,Desktop,2025-02-01,2025-02-07,3,False,,0.0,TikTok Ads,UGC Campaign
63,64,U00064,Europe,Mobile,2025-05-22,2025-05-29,4,False,,0.0,TikTok Ads,UGC Campaign
64,65,U00065,North America,Mobile,2025-01-18,2025-01-26,7,True,2025-01-29,360.56,Google Ads,Generic Search
65,66,U00066,North America,Tablet,2025-06-03,2025-06-06,4,False,,0.0,Organic Search,SEO Blog
66,67,U00067,South America,Mobile,2025-04-20,2025-05-08,7,False,,0.0,Organic Search,Organic Landing
67,68,U00068,South America,Tablet,2025-03-17,2025-04-09,7,True,2025-04-11,481.92,Google Ads,Competitor Search
68,69,U00069,South America,Mobile,2025-01-27,2025-01-31,4,False,,0.0,TikTok Ads,UGC Campaign
69,70,U00070,North America,Tablet,2025-04-16,2025-04-28,5,False,,0.0,TikTok Ads,Awareness Blast
70,71,U00071,North America,Mobile,2025-03-12,2025-03-18,3,False,,0.0,TikTok Ads,Awareness Blast
71,72,U00072,North America,Desktop,2025-04-09,2025-04-13,3,False,,0.0,Organic Search,Organic Landing
72,73,U00073,North America,Mobile,2025-01-18,2025-02-04,7,False,,0.0,Facebook Ads,Retargeting
73,74,U00074,North America,Mobile,2025-01-13,2025-01-22,4,False,,0.0,TikTok Ads,UGC Campaign
74,75,U00075,South America,Mobile,2025-05-15,2025-05-28,7,False,,0.0,Google Ads,Brand Search
75,76,U00076,Europe,Mobile,2025-02-22,2025-03-01,3,False,,0.0,Google Ads,Generic Search
76,77,U00077,South America,Desktop,2025-03-13,2025-03-21,5,False,,0.0,TikTok Ads,Awareness Blast
77,78,U00078,Asia Pacific,Tablet,2025-02-01,2025-02-16,6,False,,0.0,TikTok Ads,Awareness Blast
78,79,U00079,Asia Pacific,Desktop,2025-06-23,2025-07-04,5,False,,0.0,TikTok Ads,Influencer Push
79,80,U00080,Europe,Desktop,2025-01-20,2025-01-29,5,False,,0.0,TikTok Ads,UGC Campaign
80,81,U00081,Europe,Tablet,2025-04-14,2025-04-18,2,False,,0.0,Google Ads,Competitor Search
81,82,U00082,North America,Tablet,2025-01-25,2025-01-31,5,False,,0.0,Google Ads,Brand Search
82,83,U00083,South America,Tablet,2025-05-03,2025-05-15,5,False,,0.0,Organic Search,Organic Landing
83,84,U00084,Europe,Tablet,2025-02-25,2025-03-05,5,True,2025-03-04,671.97,Organic Search,Organic Landing
84,85,U00085,North America,Desktop,2025-06-29,2025-06-29,3,False,,0.0,Organic Search,Organic Landing
85,86,U00086,Europe,Mobile,2025-01-04,2025-01-18,7,False,,0.0,Google Ads,Competitor Search
86,87,U00087,Europe,Tablet,2025-05-16,2025-05-26,6,False,,0.0,Google Ads,Brand Search
87,88,U00088,Europe,Tablet,2025-04-14,2025-04-23,4,False,,0.0,Organic Search,Organic Landing
88,89,U00089,North America,Desktop,2025-06-08,2025-06-18,7,False,,0.0,Google Ads,Brand Search
89,90,U00090,Asia Pacific,Tablet,2025-02-14,2025-02-20,4,False,,0.0,Google Ads,Competitor Search
90,91,U00091,South America,Tablet,2025-01-07,2025-01-13,5,False,,0.0,Facebook Ads,Winter Sale
91,92,U00092,South America,Mobile,2025-03-01,2025-03-08,5,False,,0.0,Facebook Ads,Lookalike Audience
92,93,U00093,Asia Pacific,Mobile,2025-01-04,2025-01-21,6,False,,0.0,Facebook Ads,Lookalike Audience
93,94,U00094,Europe,Tablet,2025-04-02,2025-04-19,6,False,,0.0,TikTok Ads,Influencer Push
94,95,U00095,South America,Tablet,2025-01-04,2025-01-06,3,False,,0.0,Google Ads,Brand Search
95,96,U00096,South America,Desktop,2025-06-25,2025-07-07,6,False,,0.0,Facebook Ads,Lookalike Audience
96,97,U00097,Europe,Tablet,2025-04-25,2025-04-29,4,False,,0.0,Organic Search,Organic Landing
97,98,U00098,Europe,Desktop,2025-02-02,2025-02-10,4,False,,0.0,Facebook Ads,Retargeting
98,99,U00099,South America,Desktop,2025-05-29,2025-06-15,7,False,,0.0,Google Ads,Competitor Search
99,100,U00100,Asia Pacific,Desktop,2025-01-29,2025-02-05,5,True,2025-02-06,665.09,Organic Search,Organic Landing
100,101,U00101,Europe,Tablet,2025-05-18,2025-05-28,6,False,,0.0,Facebook Ads,Winter Sale
