"User_ID";"Campaign";"Channel";"Last_Touch_Time";"Conversion_Date";"Revenue"
"U00001";"Organic Landing";"Organic Search";"2025-05-14 00:00:00";"2025-05-15 00:00:00";427.99
"U00005";"Competitor Search";"Google Ads";"2025-02-21 00:00:00";"2025-02-24 00:00:00";470.38
"U00006";"Generic Search";"Google Ads";"2025-04-25 00:00:00";"2025-04-26 00:00:00";853.58
"U00008";"Retargeting";"Facebook Ads";"2025-06-20 00:00:00";"2025-06-23 00:00:00";790.46
"U00009";"Competitor Search";"Google Ads";"2025-06-11 00:00:00";"2025-06-13 00:00:00";385.54
"U00010";"Brand Search";"Google Ads";"2025-05-22 00:00:00";"2025-05-24 00:00:00";434.21
"U00017";"Awareness Blast";"TikTok Ads";"2025-01-18 00:00:00";"2025-01-19 00:00:00";370.47
"U00018";"UGC Campaign";"TikTok Ads";"2025-06-24 00:00:00";"2025-06-26 00:00:00";104.29
"U00026";"Influencer Push";"TikTok Ads";"2025-01-13 00:00:00";"2025-01-15 00:00:00";163.6
"U00027";"Generic Search";"Google Ads";"2025-03-24 00:00:00";"2025-03-26 00:00:00";1194.81
"U00028";"Competitor Search";"Google Ads";"2025-05-04 00:00:00";"2025-05-04 00:00:00";172.41
"U00032";"Competitor Search";"Google Ads";"2025-06-09 00:00:00";"2025-06-11 00:00:00";1051.71
"U00039";"Lookalike Audience";"Facebook Ads";"2025-04-10 00:00:00";"2025-04-12 00:00:00";713.76
"U00040";"Influencer Push";"TikTok Ads";"2025-05-01 00:00:00";"2025-05-04 00:00:00";614.03
"U00050";"SEO Blog";"Organic Search";"2025-04-18 00:00:00";"2025-04-20 00:00:00";238.64
"U00065";"Organic Landing";"Organic Search";"2025-01-26 00:00:00";"2025-01-29 00:00:00";360.56
"U00068";"Generic Search";"Google Ads";"2025-04-09 00:00:00";"2025-04-11 00:00:00";481.92
"U00084";"Awareness Blast";"TikTok Ads";"2025-03-01 00:00:00";"2025-03-04 00:00:00";671.97
"U00100";"Awareness Blast";"TikTok Ads";"2025-02-05 00:00:00";"2025-02-06 00:00:00";665.09
"U00102";"Brand Search";"Google Ads";"2025-02-24 00:00:00";"2025-02-26 00:00:00";95.92
"U00104";"Lookalike Audience";"Facebook Ads";"2025-06-16 00:00:00";"2025-06-17 00:00:00";748.68
"U00109";"Brand Search";"Google Ads";"2025-03-25 00:00:00";"2025-03-26 00:00:00";632.91
"U00113";"Awareness Blast";"TikTok Ads";"2025-05-06 00:00:00";"2025-05-07 00:00:00";541.62
"U00114";"UGC Campaign";"TikTok Ads";"2025-05-12 00:00:00";"2025-05-13 00:00:00";999.71
"U00128";"SEO Blog";"Organic Search";"2025-04-09 00:00:00";"2025-04-11 00:00:00";674.68
"U00130";"Brand Search";"Google Ads";"2025-03-06 00:00:00";"2025-03-08 00:00:00";1021.83
"U00136";"Lookalike Audience";"Facebook Ads";"2025-03-14 00:00:00";"2025-03-17 00:00:00";1062.99
"U00144";"Winter Sale";"Facebook Ads";"2025-03-08 00:00:00";"2025-03-09 00:00:00";582.96
"U00151";"Competitor Search";"Google Ads";"2025-04-16 00:00:00";"2025-04-17 00:00:00";1152.79
"U00174";"Brand Search";"Google Ads";"2025-03-28 00:00:00";"2025-03-28 00:00:00";813.86
"U00189";"Competitor Search";"Google Ads";"2025-01-12 00:00:00";"2025-01-14 00:00:00";644.88
"U00192";"Competitor Search";"Google Ads";"2025-04-02 00:00:00";"2025-04-05 00:00:00";1085.99
"U00197";"Lookalike Audience";"Facebook Ads";"2025-03-25 00:00:00";"2025-03-25 00:00:00";1095.64
"U00200";"Brand Search";"Google Ads";"2025-05-26 00:00:00";"2025-05-27 00:00:00";103.82
"U00201";"Competitor Search";"Google Ads";"2025-04-26 00:00:00";"2025-04-26 00:00:00";178.63
"U00228";"Awareness Blast";"TikTok Ads";"2025-02-12 00:00:00";"2025-02-15 00:00:00";1158.78
"U00236";"Awareness Blast";"TikTok Ads";"2025-02-15 00:00:00";"2025-02-18 00:00:00";537.78
"U00237";"SEO Blog";"Organic Search";"2025-06-28 00:00:00";"2025-06-28 00:00:00";156.84
"U00240";"Organic Landing";"Organic Search";"2025-05-02 00:00:00";"2025-05-03 00:00:00";348.12
"U00242";"Organic Landing";"Organic Search";"2025-02-12 00:00:00";"2025-02-15 00:00:00";469.34
"U00248";"Competitor Search";"Google Ads";"2025-05-17 00:00:00";"2025-05-18 00:00:00";327.5
"U00263";"Organic Landing";"Organic Search";"2025-05-02 00:00:00";"2025-05-04 00:00:00";371.16
"U00269";"Lookalike Audience";"Facebook Ads";"2025-04-11 00:00:00";"2025-04-13 00:00:00";897.84
"U00277";"Organic Landing";"Organic Search";"2025-04-18 00:00:00";"2025-04-19 00:00:00";498.14
"U00280";"Retargeting";"Facebook Ads";"2025-01-19 00:00:00";"2025-01-20 00:00:00";818.57
"U00285";"Lookalike Audience";"Facebook Ads";"2025-02-26 00:00:00";"2025-02-27 00:00:00";134.76
"U00292";"Organic Landing";"Organic Search";"2025-02-01 00:00:00";"2025-02-03 00:00:00";437.09
"U00301";"SEO Blog";"Organic Search";"2025-05-27 00:00:00";"2025-05-29 00:00:00";698.19
"U00314";"Awareness Blast";"TikTok Ads";"2025-04-10 00:00:00";"2025-04-11 00:00:00";782.56
"U00319";"Generic Search";"Google Ads";"2025-05-04 00:00:00";"2025-05-05 00:00:00";858.29
"U00328";"Organic Landing";"Organic Search";"2025-03-12 00:00:00";"2025-03-14 00:00:00";177.01
"U00329";"Lookalike Audience";"Facebook Ads";"2025-01-21 00:00:00";"2025-01-22 00:00:00";374.82
"U00333";"SEO Blog";"Organic Search";"2025-05-17 00:00:00";"2025-05-17 00:00:00";797.76
"U00346";"Organic Landing";"Organic Search";"2025-04-06 00:00:00";"2025-04-09 00:00:00";454.36
"U00354";"Lookalike Audience";"Facebook Ads";"2025-03-12 00:00:00";"2025-03-13 00:00:00";616.13
"U00361";"Organic Landing";"Organic Search";"2025-03-28 00:00:00";"2025-03-29 00:00:00";522.01
