user_id,conversion_date,revenue,Date,Hour,Weekday,Month,user_id_clean
U00001,2025-05-15 09:56:35+00:00,427.99,2025-05-15,9,Thursday,May,u00001
U00005,2025-02-24 19:28:00+00:00,470.38,2025-02-24,19,Monday,February,u00005
U00006,2025-04-26 04:32:00+00:00,853.58,2025-04-26,4,Saturday,April,u00006
U00008,2025-06-23 04:00:04+00:00,790.46,2025-06-23,4,Monday,June,u00008
U00009,2025-06-13 17:55:21+00:00,385.54,2025-06-13,17,Friday,June,u00009
U00010,2025-05-24 19:46:35+00:00,434.21,2025-05-24,19,Saturday,May,u00010
U00017,2025-01-19 17:14:00+00:00,370.47,2025-01-19,17,Sunday,January,u00017
U00018,2025-06-26 15:10:21+00:00,104.29,2025-06-26,15,Thursday,June,u00018
U00026,2025-01-15 21:24:25+00:00,163.6,2025-01-15,21,Wednesday,January,u00026
U00027,2025-03-26 07:27:00+00:00,1194.81,2025-03-26,7,Wednesday,March,u00027
U00028,2025-05-04 11:07:06+00:00,172.41,2025-05-04,11,Sunday,May,u00028
U00032,2025-06-11 14:13:39+00:00,1051.71,2025-06-11,14,Wednesday,June,u00032
U00039,2025-04-12 04:09:50+00:00,713.76,2025-04-12,4,Saturday,April,u00039
U00040,2025-05-04 09:40:00+00:00,614.03,2025-05-04,9,Sunday,May,u00040
U00050,2025-04-20 11:20:41+00:00,238.64,2025-04-20,11,Sunday,April,u00050
U00065,2025-01-29 02:36:06+00:00,360.56,2025-01-29,2,Wednesday,January,u00065
U00068,2025-04-11 12:19:00+00:00,481.92,2025-04-11,12,Friday,April,u00068
U00084,2025-03-04 18:49:36+00:00,671.97,2025-03-04,18,Tuesday,March,u00084
U00100,2025-02-06 08:18:29+00:00,665.09,2025-02-06,8,Thursday,February,u00100
U00102,2025-02-26 16:44:00+00:00,95.92,2025-02-26,16,Wednesday,February,u00102
U00104,2025-06-17 04:33:00+00:00,748.68,2025-06-17,4,Tuesday,June,u00104
U00109,2025-03-26 15:40:16+00:00,632.91,2025-03-26,15,Wednesday,March,u00109
U00113,2025-05-07 20:54:00+00:00,541.62,2025-05-07,20,Wednesday,May,u00113
U00114,2025-05-13 02:53:09+00:00,999.71,2025-05-13,2,Tuesday,May,u00114
U00128,2025-04-11 02:47:57+00:00,674.68,2025-04-11,2,Friday,April,u00128
U00130,2025-03-08 08:13:00+00:00,1021.83,2025-03-08,8,Saturday,March,u00130
U00136,2025-03-17 05:01:30+00:00,1062.99,2025-03-17,5,Monday,March,u00136
U00144,2025-03-09 12:01:00+00:00,582.96,2025-03-09,12,Sunday,March,u00144
U00151,2025-04-17 14:41:00+00:00,1152.79,2025-04-17,14,Thursday,April,u00151
U00174,2025-03-28 18:50:02+00:00,813.86,2025-03-28,18,Friday,March,u00174
U00189,2025-01-14 07:02:00+00:00,644.88,2025-01-14,7,Tuesday,January,u00189
U00192,2025-04-05 14:17:00+00:00,1085.99,2025-04-05,14,Saturday,April,u00192
U00197,2025-03-25 13:44:00+00:00,1095.64,2025-03-25,13,Tuesday,March,u00197
U00200,2025-05-27 22:56:00+00:00,103.82,2025-05-27,22,Tuesday,May,u00200
U00201,2025-04-26 17:45:48+00:00,178.63,2025-04-26,17,Saturday,April,u00201
U00228,2025-02-15 03:38:47+00:00,1158.78,2025-02-15,3,Saturday,February,u00228
U00236,2025-02-18 01:59:00+00:00,537.78,2025-02-18,1,Tuesday,February,u00236
U00237,2025-06-28 22:36:25+00:00,156.84,2025-06-28,22,Saturday,June,u00237
U00240,2025-05-03 12:17:34+00:00,348.12,2025-05-03,12,Saturday,May,u00240
U00242,2025-02-15 05:39:25+00:00,469.34,2025-02-15,5,Saturday,February,u00242
U00248,2025-05-18 20:24:15+00:00,327.5,2025-05-18,20,Sunday,May,u00248
U00263,2025-05-04 01:19:00+00:00,371.16,2025-05-04,1,Sunday,May,u00263
U00269,2025-04-13 10:59:00+00:00,897.84,2025-04-13,10,Sunday,April,u00269
U00277,2025-04-19 15:30:00+00:00,498.14,2025-04-19,15,Saturday,April,u00277
U00280,2025-01-20 02:43:52+00:00,818.57,2025-01-20,2,Monday,January,u00280
U00285,2025-02-27 19:14:00+00:00,134.76,2025-02-27,19,Thursday,February,u00285
U00292,2025-02-03 15:32:00+00:00,437.09,2025-02-03,15,Monday,February,u00292
U00301,2025-05-29 21:22:44+00:00,698.19,2025-05-29,21,Thursday,May,u00301
U00314,2025-04-11 02:04:34+00:00,782.56,2025-04-11,2,Friday,April,u00314
U00319,2025-05-05 16:03:16+00:00,858.29,2025-05-05,16,Monday,May,u00319
U00328,2025-03-14 21:26:02+00:00,177.01,2025-03-14,21,Friday,March,u00328
U00329,2025-01-22 10:48:00+00:00,374.82,2025-01-22,10,Wednesday,January,u00329
U00333,2025-05-17 01:01:47+00:00,797.76,2025-05-17,1,Saturday,May,u00333
U00346,2025-04-09 13:09:00+00:00,454.36,2025-04-09,13,Wednesday,April,u00346
U00354,2025-03-13 14:56:00+00:00,616.13,2025-03-13,14,Thursday,March,u00354
U00361,2025-03-29 06:33:00+00:00,522.01,2025-03-29,6,Saturday,March,u00361
U00362,2025-05-09 01:19:13+00:00,505.26,2025-05-09,1,Friday,May,u00362
U00376,2025-06-04 19:27:13+00:00,561.53,2025-06-04,19,Wednesday,June,u00376
U00377,2025-04-04 14:05:14+00:00,489.89,2025-04-04,14,Friday,April,u00377
U00382,2025-03-22 20:52:00+00:00,398.31,2025-03-22,20,Saturday,March,u00382
U00387,2025-05-11 01:13:31+00:00,1157.94,2025-05-11,1,Sunday,May,u00387
U00395,2025-02-09 15:31:04+00:00,234.31,2025-02-09,15,Sunday,February,u00395
U00396,2025-06-13 02:29:05+00:00,199.75,2025-06-13,2,Friday,June,u00396
U00404,2025-04-20 20:33:16+00:00,673.0,2025-04-20,20,Sunday,April,u00404
U00405,2025-04-06 11:43:00+00:00,118.42,2025-04-06,11,Sunday,April,u00405
U00412,2025-06-26 18:44:14+00:00,360.01,2025-06-26,18,Thursday,June,u00412
U00421,2025-05-17 15:52:02+00:00,1181.12,2025-05-17,15,Saturday,May,u00421
U00423,2025-05-30 07:37:10+00:00,762.14,2025-05-30,7,Friday,May,u00423
U00430,2025-02-04 07:48:00+00:00,1146.51,2025-02-04,7,Tuesday,February,u00430
U00436,2025-07-06 05:43:48+00:00,684.69,2025-07-06,5,Sunday,July,u00436
U00440,2025-05-28 19:20:57+00:00,742.9,2025-05-28,19,Wednesday,May,u00440
U00447,2025-04-18 03:24:00+00:00,204.44,2025-04-18,3,Friday,April,u00447
U00450,2025-03-07 23:51:44+00:00,1054.14,2025-03-07,23,Friday,March,u00450
U00457,2025-02-20 02:51:18+00:00,378.54,2025-02-20,2,Thursday,February,u00457
U00463,2025-01-26 12:43:20+00:00,481.32,2025-01-26,12,Sunday,January,u00463
U00466,2025-03-03 04:10:45+00:00,440.74,2025-03-03,4,Monday,March,u00466
