date,channel,campaign,spend,date_quarter,date_month_name,date_day_name,date_day_of_week,date_week,date_hour,date_is_weekend
2025-01-01 00:00:00+00:00,Google Ads,Competitor Search,2185.43,1,January,Wednesday,2,1,0,False
2025-01-01 00:00:00+00:00,Facebook Ads,Winter Sale,4778.21,1,January,Wednesday,2,1,0,False
2025-01-01 00:00:00+00:00,Tiktok Ads,Influencer Push,3793.97,1,January,Wednesday,2,1,0,False
2025-01-01 00:00:00+00:00,Organic,Organic Landing,0.0,1,January,Wednesday,2,1,0,False
2025-01-02 00:00:00+00:00,Google Ads,Brand Search,3193.96,1,January,Thursday,3,1,0,False
2025-01-02 00:00:00+00:00,Facebook Ads,Winter Sale,1202.08,1,January,Thursday,3,1,0,False
2025-01-02 00:00:00+00:00,Tiktok Ads,Influencer Push,1201.98,1,January,Thursday,3,1,0,False
2025-01-02 00:00:00+00:00,Organic,SEO Blog,0.0,1,January,Thursday,3,1,0,False
2025-01-03 00:00:00+00:00,Google Ads,Competitor Search,761.38,1,January,Friday,4,1,0,False
2025-01-03 00:00:00+00:00,Facebook Ads,Lookalike Audience,4397.79,1,January,Friday,4,1,0,False
2025-01-03 00:00:00+00:00,Tiktok Ads,UGC Campaign,3205.02,1,January,Friday,4,1,0,False
2025-01-03 00:00:00+00:00,Organic,SEO Blog,0.0,1,January,Friday,4,1,0,False
2025-01-04 00:00:00+00:00,Google Ads,Competitor Search,3686.33,1,January,Saturday,5,1,0,True
2025-01-04 00:00:00+00:00,Facebook Ads,Retargeting,592.63,1,January,Saturday,5,1,0,True
2025-01-04 00:00:00+00:00,Tiktok Ads,Influencer Push,4864.59,1,January,Saturday,5,1,0,True
2025-01-04 00:00:00+00:00,Organic,SEO Blog,0.0,1,January,Saturday,5,1,0,True
2025-01-05 00:00:00+00:00,Google Ads,Brand Search,4245.99,1,January,Sunday,6,1,0,True
2025-01-05 00:00:00+00:00,Facebook Ads,Winter Sale,1455.53,1,January,Sunday,6,1,0,True
2025-01-05 00:00:00+00:00,Tiktok Ads,Influencer Push,1318.21,1,January,Sunday,6,1,0,True
2025-01-05 00:00:00+00:00,Organic,SEO Blog,0.0,1,January,Sunday,6,1,0,True
2025-01-06 00:00:00+00:00,Google Ads,Competitor Search,1325.32,1,January,Monday,0,2,0,False
2025-01-06 00:00:00+00:00,Facebook Ads,Winter Sale,1869.09,1,January,Monday,0,2,0,False
2025-01-06 00:00:00+00:00,Tiktok Ads,UGC Campaign,2861.4,1,January,Monday,0,2,0,False
2025-01-06 00:00:00+00:00,Organic,Organic Landing,0.0,1,January,Monday,0,2,0,False
2025-01-07 00:00:00+00:00,Google Ads,Brand Search,2443.75,1,January,Tuesday,1,2,0,False
2025-01-07 00:00:00+00:00,Facebook Ads,Retargeting,1810.53,1,January,Tuesday,1,2,0,False
2025-01-07 00:00:00+00:00,Tiktok Ads,UGC Campaign,3253.34,1,January,Tuesday,1,2,0,False
2025-01-07 00:00:00+00:00,Organic,Organic Landing,0.0,1,January,Tuesday,1,2,0,False
2025-01-08 00:00:00+00:00,Google Ads,Brand Search,1127.72,1,January,Wednesday,2,2,0,False
2025-01-08 00:00:00+00:00,Facebook Ads,Winter Sale,1814.65,1,January,Wednesday,2,2,0,False
2025-01-08 00:00:00+00:00,Tiktok Ads,UGC Campaign,2148.63,1,January,Wednesday,2,2,0,False
2025-01-08 00:00:00+00:00,Organic,Organic Landing,0.0,1,January,Wednesday,2,2,0,False
2025-01-09 00:00:00+00:00,Google Ads,Generic Search,2552.31,1,January,Thursday,3,2,0,False
2025-01-09 00:00:00+00:00,Facebook Ads,Retargeting,4033.29,1,January,Thursday,3,2,0,False
2025-01-09 00:00:00+00:00,Tiktok Ads,Influencer Push,1398.53,1,January,Thursday,3,2,0,False
2025-01-09 00:00:00+00:00,Organic,SEO Blog,0.0,1,January,Thursday,3,2,0,False
2025-01-10 00:00:00+00:00,Google Ads,Generic Search,2814.05,1,January,Friday,4,2,0,False
2025-01-10 00:00:00+00:00,Facebook Ads,Winter Sale,3165.87,1,January,Friday,4,2,0,False
2025-01-10 00:00:00+00:00,Tiktok Ads,Influencer Push,709.03,1,January,Friday,4,2,0,False
2025-01-10 00:00:00+00:00,Organic,Organic Landing,0.0,1,January,Friday,4,2,0,False
2025-01-11 00:00:00+00:00,Google Ads,Brand Search,3233.95,1,January,Saturday,5,2,0,True
2025-01-11 00:00:00+00:00,Facebook Ads,Retargeting,1267.36,1,January,Saturday,5,2,0,True
2025-01-11 00:00:00+00:00,Tiktok Ads,Awareness Blast,792.73,1,January,Saturday,5,2,0,True
2025-01-11 00:00:00+00:00,Organic,Organic Landing,0.0,1,January,Saturday,5,2,0,True
2025-01-12 00:00:00+00:00,Google Ads,Brand Search,4769.98,1,January,Sunday,6,2,0,True
2025-01-12 00:00:00+00:00,Facebook Ads,Lookalike Audience,4845.34,1,January,Sunday,6,2,0,True
2025-01-12 00:00:00+00:00,Tiktok Ads,Awareness Blast,4137.79,1,January,Sunday,6,2,0,True
2025-01-12 00:00:00+00:00,Organic,SEO Blog,0.0,1,January,Sunday,6,2,0,True
2025-01-13 00:00:00+00:00,Google Ads,Generic Search,1870.76,1,January,Monday,0,3,0,False
2025-01-13 00:00:00+00:00,Facebook Ads,Winter Sale,939.52,1,January,Monday,0,3,0,False
2025-01-13 00:00:00+00:00,Tiktok Ads,UGC Campaign,3579.05,1,January,Monday,0,3,0,False
2025-01-13 00:00:00+00:00,Organic,Organic Landing,0.0,1,January,Monday,0,3,0,False
2025-01-14 00:00:00+00:00,Google Ads,Competitor Search,2480.69,1,January,Tuesday,1,3,0,False
2025-01-14 00:00:00+00:00,Facebook Ads,Lookalike Audience,1049.17,1,January,Tuesday,1,3,0,False
2025-01-14 00:00:00+00:00,Tiktok Ads,Awareness Blast,2728.3,1,January,Tuesday,1,3,0,False
2025-01-14 00:00:00+00:00,Organic,SEO Blog,0.0,1,January,Tuesday,1,3,0,False
2025-01-15 00:00:00+00:00,Google Ads,Competitor Search,654.75,1,January,Wednesday,2,3,0,False
2025-01-15 00:00:00+00:00,Facebook Ads,Winter Sale,4591.94,1,January,Wednesday,2,3,0,False
2025-01-15 00:00:00+00:00,Tiktok Ads,Influencer Push,1664.51,1,January,Wednesday,2,3,0,False
2025-01-15 00:00:00+00:00,Organic,SEO Blog,0.0,1,January,Wednesday,2,3,0,False
2025-01-16 00:00:00+00:00,Google Ads,Generic Search,3481.35,1,January,Thursday,3,3,0,False
2025-01-16 00:00:00+00:00,Facebook Ads,Winter Sale,1902.7,1,January,Thursday,3,3,0,False
2025-01-16 00:00:00+00:00,Tiktok Ads,Influencer Push,2840.31,1,January,Thursday,3,3,0,False
2025-01-16 00:00:00+00:00,Organic,SEO Blog,0.0,1,January,Thursday,3,3,0,False
2025-01-17 00:00:00+00:00,Google Ads,Generic Search,2960.2,1,January,Friday,4,3,0,False
2025-01-17 00:00:00+00:00,Facebook Ads,Retargeting,1331.85,1,January,Friday,4,3,0,False
2025-01-17 00:00:00+00:00,Tiktok Ads,Awareness Blast,4863.13,1,January,Friday,4,3,0,False
2025-01-17 00:00:00+00:00,Organic,Organic Landing,0.0,1,January,Friday,4,3,0,False
2025-01-18 00:00:00+00:00,Google Ads,Brand Search,3988.1,1,January,Saturday,5,3,0,True
2025-01-18 00:00:00+00:00,Facebook Ads,Retargeting,4727.75,1,January,Saturday,5,3,0,True
2025-01-18 00:00:00+00:00,Tiktok Ads,Awareness Blast,4526.72,1,January,Saturday,5,3,0,True
2025-01-18 00:00:00+00:00,Organic,SEO Blog,0.0,1,January,Saturday,5,3,0,True
2025-01-19 00:00:00+00:00,Google Ads,Competitor Search,3190.55,1,January,Sunday,6,3,0,True
2025-01-19 00:00:00+00:00,Facebook Ads,Retargeting,4648.43,1,January,Sunday,6,3,0,True
2025-01-19 00:00:00+00:00,Tiktok Ads,UGC Campaign,898.22,1,January,Sunday,6,3,0,True
2025-01-19 00:00:00+00:00,Organic,SEO Blog,0.0,1,January,Sunday,6,3,0,True
2025-01-20 00:00:00+00:00,Google Ads,Competitor Search,1381.92,1,January,Monday,0,4,0,False
2025-01-20 00:00:00+00:00,Facebook Ads,Lookalike Audience,703.52,1,January,Monday,0,4,0,False
2025-01-20 00:00:00+00:00,Tiktok Ads,Influencer Push,1963.99,1,January,Monday,0,4,0,False
2025-01-20 00:00:00+00:00,Organic,SEO Blog,0.0,1,January,Monday,0,4,0,False
