user_id,conversion_date,revenue,conversion_date_quarter,conversion_date_month_name,conversion_date_day_name,conversion_date_day_of_week,conversion_date_week,conversion_date_hour,conversion_date_is_weekend
U00001,2025-05-15 09:56:35+00:00,427.99,2,May,Thursday,3,20,9,False
U00005,2025-02-24 19:28:00+00:00,470.38,1,February,Monday,0,9,19,False
U00006,2025-04-26 04:32:00+00:00,853.58,2,April,Saturday,5,17,4,True
U00008,2025-06-23 04:00:04+00:00,790.46,2,June,Monday,0,26,4,False
U00009,2025-06-13 17:55:21+00:00,385.54,2,June,Friday,4,24,17,False
U00010,2025-05-24 19:46:35+00:00,434.21,2,May,Saturday,5,21,19,True
U00017,2025-01-19 17:14:00+00:00,370.47,1,January,Sunday,6,3,17,True
U00018,2025-06-26 15:10:21+00:00,104.29,2,June,Thursday,3,26,15,False
U00026,2025-01-15 21:24:25+00:00,163.6,1,January,Wednesday,2,3,21,False
U00027,2025-03-26 07:27:00+00:00,1194.81,1,March,Wednesday,2,13,7,False
U00028,2025-05-04 11:07:06+00:00,172.41,2,May,Sunday,6,18,11,True
U00032,2025-06-11 14:13:39+00:00,1051.71,2,June,Wednesday,2,24,14,False
U00039,2025-04-12 04:09:50+00:00,713.76,2,April,Saturday,5,15,4,True
U00040,2025-05-04 09:40:00+00:00,614.03,2,May,Sunday,6,18,9,True
U00050,2025-04-20 11:20:41+00:00,238.64,2,April,Sunday,6,16,11,True
U00065,2025-01-29 02:36:06+00:00,360.56,1,January,Wednesday,2,5,2,False
U00068,2025-04-11 12:19:00+00:00,481.92,2,April,Friday,4,15,12,False
U00084,2025-03-04 18:49:36+00:00,671.97,1,March,Tuesday,1,10,18,False
U00100,2025-02-06 08:18:29+00:00,665.09,1,February,Thursday,3,6,8,False
U00102,2025-02-26 16:44:00+00:00,95.92,1,February,Wednesday,2,9,16,False
U00104,2025-06-17 04:33:00+00:00,748.68,2,June,Tuesday,1,25,4,False
U00109,2025-03-26 15:40:16+00:00,632.91,1,March,Wednesday,2,13,15,False
U00113,2025-05-07 20:54:00+00:00,541.62,2,May,Wednesday,2,19,20,False
U00114,2025-05-13 02:53:09+00:00,999.71,2,May,Tuesday,1,20,2,False
U00128,2025-04-11 02:47:57+00:00,674.68,2,April,Friday,4,15,2,False
U00130,2025-03-08 08:13:00+00:00,1021.83,1,March,Saturday,5,10,8,True
U00136,2025-03-17 05:01:30+00:00,1062.99,1,March,Monday,0,12,5,False
U00144,2025-03-09 12:01:00+00:00,582.96,1,March,Sunday,6,10,12,True
U00151,2025-04-17 14:41:00+00:00,1152.79,2,April,Thursday,3,16,14,False
U00174,2025-03-28 18:50:02+00:00,813.86,1,March,Friday,4,13,18,False
U00189,2025-01-14 07:02:00+00:00,644.88,1,January,Tuesday,1,3,7,False
U00192,2025-04-05 14:17:00+00:00,1085.99,2,April,Saturday,5,14,14,True
U00197,2025-03-25 13:44:00+00:00,1095.64,1,March,Tuesday,1,13,13,False
U00200,2025-05-27 22:56:00+00:00,103.82,2,May,Tuesday,1,22,22,False
U00201,2025-04-26 17:45:48+00:00,178.63,2,April,Saturday,5,17,17,True
U00228,2025-02-15 03:38:47+00:00,1158.78,1,February,Saturday,5,7,3,True
U00236,2025-02-18 01:59:00+00:00,537.78,1,February,Tuesday,1,8,1,False
U00237,2025-06-28 22:36:25+00:00,156.84,2,June,Saturday,5,26,22,True
U00240,2025-05-03 12:17:34+00:00,348.12,2,May,Saturday,5,18,12,True
U00242,2025-02-15 05:39:25+00:00,469.34,1,February,Saturday,5,7,5,True
U00248,2025-05-18 20:24:15+00:00,327.5,2,May,Sunday,6,20,20,True
U00263,2025-05-04 01:19:00+00:00,371.16,2,May,Sunday,6,18,1,True
U00269,2025-04-13 10:59:00+00:00,897.84,2,April,Sunday,6,15,10,True
U00277,2025-04-19 15:30:00+00:00,498.14,2,April,Saturday,5,16,15,True
U00280,2025-01-20 02:43:52+00:00,818.57,1,January,Monday,0,4,2,False
U00285,2025-02-27 19:14:00+00:00,134.76,1,February,Thursday,3,9,19,False
U00292,2025-02-03 15:32:00+00:00,437.09,1,February,Monday,0,6,15,False
U00301,2025-05-29 21:22:44+00:00,698.19,2,May,Thursday,3,22,21,False
U00314,2025-04-11 02:04:34+00:00,782.56,2,April,Friday,4,15,2,False
U00319,2025-05-05 16:03:16+00:00,858.29,2,May,Monday,0,19,16,False
U00328,2025-03-14 21:26:02+00:00,177.01,1,March,Friday,4,11,21,False
U00329,2025-01-22 10:48:00+00:00,374.82,1,January,Wednesday,2,4,10,False
U00333,2025-05-17 01:01:47+00:00,797.76,2,May,Saturday,5,20,1,True
U00346,2025-04-09 13:09:00+00:00,454.36,2,April,Wednesday,2,15,13,False
U00354,2025-03-13 14:56:00+00:00,616.13,1,March,Thursday,3,11,14,False
U00361,2025-03-29 06:33:00+00:00,522.01,1,March,Saturday,5,13,6,True
U00362,2025-05-09 01:19:13+00:00,505.26,2,May,Friday,4,19,1,False
U00376,2025-06-04 19:27:13+00:00,561.53,2,June,Wednesday,2,23,19,False
U00377,2025-04-04 14:05:14+00:00,489.89,2,April,Friday,4,14,14,False
U00382,2025-03-22 20:52:00+00:00,398.31,1,March,Saturday,5,12,20,True
U00387,2025-05-11 01:13:31+00:00,1157.94,2,May,Sunday,6,19,1,True
U00395,2025-02-09 15:31:04+00:00,234.31,1,February,Sunday,6,6,15,True
U00396,2025-06-13 02:29:05+00:00,199.75,2,June,Friday,4,24,2,False
U00404,2025-04-20 20:33:16+00:00,673.0,2,April,Sunday,6,16,20,True
U00405,2025-04-06 11:43:00+00:00,118.42,2,April,Sunday,6,14,11,True
U00412,2025-06-26 18:44:14+00:00,360.01,2,June,Thursday,3,26,18,False
U00421,2025-05-17 15:52:02+00:00,1181.12,2,May,Saturday,5,20,15,True
U00423,2025-05-30 07:37:10+00:00,762.14,2,May,Friday,4,22,7,False
U00430,2025-02-04 07:48:00+00:00,1146.51,1,February,Tuesday,1,6,7,False
U00436,2025-07-06 05:43:48+00:00,684.69,3,July,Sunday,6,27,5,True
U00440,2025-05-28 19:20:57+00:00,742.9,2,May,Wednesday,2,22,19,False
U00447,2025-04-18 03:24:00+00:00,204.44,2,April,Friday,4,16,3,False
U00450,2025-03-07 23:51:44+00:00,1054.14,1,March,Friday,4,10,23,False
U00457,2025-02-20 02:51:18+00:00,378.54,1,February,Thursday,3,8,2,False
U00463,2025-01-26 12:43:20+00:00,481.32,1,January,Sunday,6,4,12,True
U00466,2025-03-03 04:10:45+00:00,440.74,1,March,Monday,0,10,4,False
U00475,2025-03-13 05:11:00+00:00,942.04,1,March,Thursday,3,11,5,False
U00480,2025-03-01 04:35:52+00:00,621.08,1,March,Saturday,5,9,4,True
U00483,2025-03-11 05:09:24+00:00,733.17,1,March,Tuesday,1,11,5,False
U00487,2025-02-18 00:45:13+00:00,835.19,1,February,Tuesday,1,8,0,False
U00490,2025-01-12 09:51:08+00:00,95.86,1,January,Sunday,6,2,9,True
U00492,2025-05-31 12:43:00+00:00,1183.72,2,May,Saturday,5,22,12,True
U00513,2025-03-03 10:14:55+00:00,678.84,1,March,Monday,0,10,10,False
U00516,2025-02-01 10:12:00+00:00,556.28,1,February,Saturday,5,5,10,True
U00524,2025-02-12 01:30:31+00:00,174.82,1,February,Wednesday,2,7,1,False
U00531,2025-04-26 04:46:17+00:00,209.26,2,April,Saturday,5,17,4,True
U00532,2025-04-07 15:59:29+00:00,714.52,2,April,Monday,0,15,15,False
U00534,2025-03-08 04:17:00+00:00,373.74,1,March,Saturday,5,10,4,True
U00539,2025-03-01 04:00:29+00:00,81.46,1,March,Saturday,5,9,4,True
U00542,2025-05-06 11:03:00+00:00,384.8,2,May,Tuesday,1,19,11,False
U00547,2025-04-22 19:28:37+00:00,972.5,2,April,Tuesday,1,17,19,False
U00548,2025-03-10 12:52:13+00:00,504.18,1,March,Monday,0,11,12,False
U00551,2025-04-13 17:25:36+00:00,754.29,2,April,Sunday,6,15,17,True
U00557,2025-06-29 03:05:00+00:00,1175.54,2,June,Sunday,6,26,3,True
U00566,2025-01-21 11:44:00+00:00,355.51,1,January,Tuesday,1,4,11,False
U00570,2025-06-12 13:21:07+00:00,410.94,2,June,Thursday,3,24,13,False
U00578,2025-04-06 05:45:00+00:00,805.57,2,April,Sunday,6,14,5,True
U00584,2025-04-23 05:37:00+00:00,1134.23,2,April,Wednesday,2,17,5,False
U00593,2025-03-16 07:29:00+00:00,620.05,1,March,Sunday,6,11,7,True
U00598,2025-05-31 14:19:19+00:00,1033.04,2,May,Saturday,5,22,14,True
U00604,2025-03-01 06:53:00+00:00,580.26,1,March,Saturday,5,9,6,True
U00605,2025-03-02 19:14:16+00:00,340.65,1,March,Sunday,6,9,19,True
U00607,2025-03-28 14:29:00+00:00,521.8,1,March,Friday,4,13,14,False
U00609,2025-01-22 06:46:00+00:00,908.98,1,January,Wednesday,2,4,6,False
U00623,2025-03-05 13:20:00+00:00,1019.64,1,March,Wednesday,2,10,13,False
U00625,2025-07-10 19:54:52+00:00,845.45,3,July,Thursday,3,28,19,False
U00628,2025-07-07 09:52:18+00:00,544.03,3,July,Monday,0,28,9,False
U00629,2025-01-26 08:15:47+00:00,661.23,1,January,Sunday,6,4,8,True
U00652,2025-03-13 22:08:20+00:00,291.29,1,March,Thursday,3,11,22,False
U00665,2025-05-24 12:43:00+00:00,271.5,2,May,Saturday,5,21,12,True
U00673,2025-04-15 14:18:51+00:00,402.2,2,April,Tuesday,1,16,14,False
U00675,2025-06-13 01:36:00+00:00,987.67,2,June,Friday,4,24,1,False
U00687,2025-01-15 18:26:50+00:00,552.09,1,January,Wednesday,2,3,18,False
U00689,2025-03-23 20:49:00+00:00,427.41,1,March,Sunday,6,12,20,True
U00690,2025-01-25 09:54:27+00:00,886.83,1,January,Saturday,5,4,9,True
U00698,2025-05-27 06:48:31+00:00,573.3,2,May,Tuesday,1,22,6,False
U00701,2025-07-04 13:43:37+00:00,222.28,3,July,Friday,4,27,13,False
U00711,2025-03-07 15:40:49+00:00,835.21,1,March,Friday,4,10,15,False
U00723,2025-03-08 19:11:59+00:00,725.15,1,March,Saturday,5,10,19,True
U00735,2025-02-23 19:03:00+00:00,649.63,1,February,Sunday,6,8,19,True
U00740,2025-02-13 23:33:39+00:00,746.93,1,February,Thursday,3,7,23,False
U00750,2025-07-08 10:53:03+00:00,879.05,3,July,Tuesday,1,28,10,False
U00755,2025-02-15 13:15:06+00:00,895.35,1,February,Saturday,5,7,13,True
U00763,2025-05-28 14:24:00+00:00,464.65,2,May,Wednesday,2,22,14,False
U00765,2025-02-15 19:22:43+00:00,1103.63,1,February,Saturday,5,7,19,True
U00775,2025-04-02 17:15:16+00:00,330.61,2,April,Wednesday,2,14,17,False
U00785,2025-01-24 20:50:00+00:00,232.09,1,January,Friday,4,4,20,False
U00788,2025-01-22 06:24:00+00:00,1117.34,1,January,Wednesday,2,4,6,False
U00792,2025-02-07 11:42:26+00:00,835.47,1,February,Friday,4,6,11,False
U00800,2025-06-13 22:50:02+00:00,1046.97,2,June,Friday,4,24,22,False
U00801,2025-07-08 18:52:51+00:00,1185.86,3,July,Tuesday,1,28,18,False
U00811,2025-05-23 14:38:00+00:00,1131.2,2,May,Friday,4,21,14,False
U00820,2025-01-18 16:33:00+00:00,344.19,1,January,Saturday,5,3,16,True
U00821,2025-03-17 18:33:04+00:00,471.79,1,March,Monday,0,12,18,False
U00830,2025-05-23 03:55:00+00:00,781.28,2,May,Friday,4,21,3,False
U00853,2025-06-13 10:03:41+00:00,1065.65,2,June,Friday,4,24,10,False
U00856,2025-01-14 21:42:50+00:00,363.36,1,January,Tuesday,1,3,21,False
U00913,2025-05-13 03:50:41+00:00,1132.32,2,May,Tuesday,1,20,3,False
U00914,2025-06-17 09:16:36+00:00,855.69,2,June,Tuesday,1,25,9,False
U00916,2025-04-03 04:41:04+00:00,257.79,2,April,Thursday,3,14,4,False
U00922,2025-03-26 22:32:01+00:00,176.76,1,March,Wednesday,2,13,22,False
U00930,2025-02-19 06:28:00+00:00,437.29,1,February,Wednesday,2,8,6,False
U00933,2025-04-30 07:01:00+00:00,1128.52,2,April,Wednesday,2,18,7,False
U00938,2025-06-19 09:03:00+00:00,301.81,2,June,Thursday,3,25,9,False
U00944,2025-04-15 20:57:00+00:00,266.25,2,April,Tuesday,1,16,20,False
U00948,2025-05-01 08:25:00+00:00,377.72,2,May,Thursday,3,18,8,False
U00956,2025-06-05 01:53:28+00:00,906.14,2,June,Thursday,3,23,1,False
U00963,2025-05-07 00:57:25+00:00,555.31,2,May,Wednesday,2,19,0,False
U00973,2025-03-05 11:34:00+00:00,211.75,1,March,Wednesday,2,10,11,False
U00989,2025-03-28 05:55:54+00:00,75.77,1,March,Friday,4,13,5,False
U00998,2025-06-11 15:30:02+00:00,341.97,2,June,Wednesday,2,24,15,False
U00999,2025-02-12 02:43:04+00:00,508.07,1,February,Wednesday,2,7,2,False
U01008,2025-02-17 18:13:00+00:00,324.03,1,February,Monday,0,8,18,False
U01014,2025-02-25 14:17:00+00:00,974.63,1,February,Tuesday,1,9,14,False
U01036,2025-02-22 12:51:00+00:00,1177.16,1,February,Saturday,5,8,12,True
U01038,2025-05-27 09:33:16+00:00,839.76,2,May,Tuesday,1,22,9,False
U01040,2025-06-29 12:29:30+00:00,306.65,2,June,Sunday,6,26,12,True
U01042,2025-02-23 11:37:00+00:00,157.01,1,February,Sunday,6,8,11,True
U01044,2025-03-04 16:06:56+00:00,772.98,1,March,Tuesday,1,10,16,False
U01054,2025-05-23 02:27:00+00:00,803.93,2,May,Friday,4,21,2,False
U01072,2025-06-11 20:15:55+00:00,298.42,2,June,Wednesday,2,24,20,False
U01074,2025-06-30 20:31:00+00:00,224.58,2,June,Monday,0,27,20,False
U01075,2025-07-03 06:13:00+00:00,603.65,3,July,Thursday,3,27,6,False
U01077,2025-06-10 14:46:23+00:00,384.4,2,June,Tuesday,1,24,14,False
U01094,2025-02-20 19:18:30+00:00,236.02,1,February,Thursday,3,8,19,False
