customer_key,user_id,region,primary_device,first_touch_date,last_touch_date,total_touchpoints,conversion_flag,conversion_date,revenue,channel,campaign,first_touch_date_quarter,first_touch_date_month_name,first_touch_date_day_name,first_touch_date_day_of_week,first_touch_date_week,first_touch_date_hour,first_touch_date_is_weekend,last_touch_date_quarter,last_touch_date_month_name,last_touch_date_day_name,last_touch_date_day_of_week,last_touch_date_week,last_touch_date_hour,last_touch_date_is_weekend,conversion_date_quarter,conversion_date_month_name,conversion_date_day_name,conversion_date_day_of_week,conversion_date_week,conversion_date_hour,conversion_date_is_weekend
1,U00001,North America,Desktop,2025-05-14 18:56:35+00:00,2025-05-16 12:56:00+00:00,2,True,2025-05-15 09:56:35+00:00,427.99,Organic,Organic Landing,2,May,Wednesday,2,20,18,False,2,May,Friday,4,20,12,False,2.0,May,Thursday,3.0,20,9.0,False
2,U00002,North America,Desktop,2025-04-04 15:58:00+00:00,2025-04-09 10:58:50+00:00,2,False,,0.0,Tiktok Ads,UGC Campaign,2,April,Friday,4,14,15,False,2,April,Wednesday,2,15,10,False,,,,,,,False
3,U00003,Asia Pacific,Tablet,2025-01-23 07:05:32+00:00,2025-02-02 02:05:32+00:00,4,False,,0.0,Organic,Organic Landing,1,January,Thursday,3,4,7,False,1,February,Sunday,6,5,2,True,,,,,,,False
4,U00004,Asia Pacific,Mobile,2025-02-10 11:39:23+00:00,2025-02-12 19:39:00+00:00,2,False,,0.0,Organic,SEO Blog,1,February,Monday,0,7,11,False,1,February,Wednesday,2,7,19,False,,,,,,,False
5,U00005,Asia Pacific,Tablet,2025-02-21 15:28:06+00:00,2025-02-21 22:28:00+00:00,2,True,2025-02-24 19:28:00+00:00,470.38,Google Ads,Competitor Search,1,February,Friday,4,8,15,False,1,February,Friday,4,8,22,False,1.0,February,Monday,0.0,9,19.0,False
6,U00006,Europe,Tablet,2025-04-23 10:32:00+00:00,2025-04-29 19:32:11+00:00,3,True,2025-04-26 04:32:00+00:00,853.58,Organic,Organic Landing,2,April,Wednesday,2,17,10,False,2,April,Tuesday,1,18,19,False,2.0,April,Saturday,5.0,17,4.0,True
7,U00007,Asia Pacific,Desktop,2025-04-19 18:35:32+00:00,2025-05-04 05:35:00+00:00,6,False,,0.0,Tiktok Ads,Awareness Blast,2,April,Saturday,5,16,18,True,2,May,Sunday,6,18,5,True,,,,,,,False
8,U00008,South America,Desktop,2025-06-16 20:00:04+00:00,2025-06-24 09:00:00+00:00,3,True,2025-06-23 04:00:04+00:00,790.46,Tiktok Ads,Influencer Push,2,June,Monday,0,25,20,False,2,June,Tuesday,1,26,9,False,2.0,June,Monday,0.0,26,4.0,False
9,U00009,Asia Pacific,Mobile,2025-06-11 06:55:21+00:00,2025-06-17 21:55:00+00:00,3,True,2025-06-13 17:55:21+00:00,385.54,Google Ads,Competitor Search,2,June,Wednesday,2,24,6,False,2,June,Tuesday,1,25,21,False,2.0,June,Friday,4.0,24,17.0,False
10,U00010,South America,Desktop,2025-05-14 04:46:35+00:00,2025-05-22 20:46:35+00:00,4,True,2025-05-24 19:46:35+00:00,434.21,Tiktok Ads,Influencer Push,2,May,Wednesday,2,20,4,False,2,May,Thursday,3,21,20,False,2.0,May,Saturday,5.0,21,19.0,True
11,U00011,Asia Pacific,Mobile,2025-02-23 12:23:00+00:00,2025-03-09 15:23:04+00:00,5,False,,0.0,Facebook Ads,Winter Sale,1,February,Sunday,6,8,12,True,1,March,Sunday,6,10,15,True,,,,,,,False
12,U00012,Asia Pacific,Tablet,2025-03-04 04:14:00+00:00,2025-03-10 15:14:18+00:00,4,False,,0.0,Google Ads,Brand Search,1,March,Tuesday,1,10,4,False,1,March,Monday,0,11,15,False,,,,,,,False
13,U00013,South America,Mobile,2025-02-01 04:18:05+00:00,2025-02-13 07:18:05+00:00,6,False,,0.0,Facebook Ads,Retargeting,1,February,Saturday,5,5,4,True,1,February,Thursday,3,7,7,False,,,,,,,False
14,U00014,Asia Pacific,Tablet,2025-04-12 19:45:00+00:00,2025-04-17 06:45:00+00:00,2,False,,0.0,Organic,Organic Landing,2,April,Saturday,5,15,19,True,2,April,Thursday,3,16,6,False,,,,,,,False
15,U00015,North America,Desktop,2025-06-21 19:51:00+00:00,2025-06-27 11:51:05+00:00,3,False,,0.0,Tiktok Ads,UGC Campaign,2,June,Saturday,5,25,19,True,2,June,Friday,4,26,11,False,,,,,,,False
16,U00016,North America,Mobile,2025-03-16 16:49:00+00:00,2025-03-18 23:49:45+00:00,2,False,,0.0,Organic,Organic Landing,1,March,Sunday,6,11,16,True,1,March,Tuesday,1,12,23,False,,,,,,,False
17,U00017,Asia Pacific,Desktop,2025-01-07 08:14:44+00:00,2025-01-18 05:14:00+00:00,5,True,2025-01-19 17:14:00+00:00,370.47,Tiktok Ads,Awareness Blast,1,January,Tuesday,1,2,8,False,1,January,Saturday,5,3,5,True,1.0,January,Sunday,6.0,3,17.0,True
18,U00018,North America,Tablet,2025-06-20 04:10:21+00:00,2025-07-01 09:10:00+00:00,6,True,2025-06-26 15:10:21+00:00,104.29,Organic,Organic Landing,2,June,Friday,4,25,4,False,3,July,Tuesday,1,27,9,False,2.0,June,Thursday,3.0,26,15.0,False
19,U00019,North America,Tablet,2025-03-06 03:00:00+00:00,2025-03-10 01:00:00+00:00,2,False,,0.0,Organic,SEO Blog,1,March,Thursday,3,10,3,False,1,March,Monday,0,11,1,False,,,,,,,False
20,U00020,South America,Tablet,2025-03-01 04:50:00+00:00,2025-03-03 22:50:50+00:00,2,False,,0.0,Tiktok Ads,UGC Campaign,1,March,Saturday,5,9,4,True,1,March,Monday,0,10,22,False,,,,,,,False
21,U00021,South America,Tablet,2025-01-28 20:39:00+00:00,2025-01-31 12:39:00+00:00,2,False,,0.0,Facebook Ads,Retargeting,1,January,Tuesday,1,5,20,False,1,January,Friday,4,5,12,False,,,,,,,False
22,U00022,Asia Pacific,Tablet,2025-05-28 04:19:16+00:00,2025-06-08 14:19:16+00:00,4,False,,0.0,Tiktok Ads,Influencer Push,2,May,Wednesday,2,22,4,False,2,June,Sunday,6,23,14,True,,,,,,,False
23,U00023,South America,Desktop,2025-05-10 20:27:00+00:00,2025-05-19 11:27:00+00:00,4,False,,0.0,Tiktok Ads,Influencer Push,2,May,Saturday,5,19,20,True,2,May,Monday,0,21,11,False,,,,,,,False
24,U00024,Europe,Desktop,2025-01-29 17:10:58+00:00,2025-02-03 14:10:58+00:00,3,False,,0.0,Google Ads,Brand Search,1,January,Wednesday,2,5,17,False,1,February,Monday,0,6,14,False,,,,,,,False
25,U00025,South America,Tablet,2025-01-30 04:19:39+00:00,2025-02-03 14:19:39+00:00,4,False,,0.0,Facebook Ads,Winter Sale,1,January,Thursday,3,5,4,False,1,February,Monday,0,6,14,False,,,,,,,False
